Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
SUV,89000,Automatic,1,Ford,Ford Endeavour,2017,3.2 Titanium AT 4X4,0.5164922407726777,Third Party insurance,Diesel,7,3198,2017,10.91,197.0,470,Black,Bangalore,9,2,27
Hatchback,29813,Manual,2,Maruti,Maruti Alto 800,2014,VXI,0.5158440011242931,Comprehensive,Petrol,5,796,2014,22.05,47.33,69,Others,Bangalore,9,2,19
Hatchback,30000,Manual,1,Ford,Ford Figo,2018,1.2P Titanium Opt MT,0.5158978009320878,Third Party insurance,Petrol,5,1196,2018,18.16,86.8,112,Gray,Bangalore,9,3,29
Hatchback,13345,Automatic,1,Maruti,Maruti Ignis,2020,1.2 AMT Zeta BSIV,0.5159530418061629,Comprehensive,Petrol,5,1197,2020,20.89,81.8,113,White,Bangalore,9,3,25
SUV,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,1.5 Signature (O) 7-Seater Diesel AT,0.5163169110419179,Comprehensive,Diesel,7,1498,2022,18.1,113.42,250,Grey,Bangalore,9,2,21
Hatchback,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,Sportz,0.5158735429830376,Comprehensive,Petrol,5,1197,2014,18.9,82.0,114,Grey,Bangalore,9,3,26
Hatchback,75523,Manual,2,Hyundai,Hyundai i10,2011,Sportz,0.5158526475219744,Comprehensive,Petrol,5,1197,2011,20.36,78.9,111,Red,Bangalore,9,2,27
SUV,47000,Manual,1,Mahindra,Mahindra XUV500,2015,W10 2WD,0.5160839386599494,Comprehensive,Diesel,7,2179,2015,16.0,140.0,330,Silver,Bangalore,9,3,27
SUV,36500,Manual,1,Tata,Tata Harrier,2022,XT Plus BSVI,0.5162556654848309,Comprehensive,Diesel,5,1956,2022,16.35,167.67,350,White,Bangalore,9,2,20
MUV,28253,Manual,1,Renault,Renault Triber,2020,RXZ,0.5159503998513159,Comprehensive,Petrol,7,999,2020,20.0,71.01,96,Silver,Bangalore,9,2,18
SUV,50000,Manual,1,Hyundai,Hyundai Creta,2016,1.6 CRDi SX Plus,0.5160803359942489,Third Party insurance,Diesel,5,1582,2016,19.67,126.2,259,White,Bangalore,9,3,26
Hatchback,90000,Manual,2,Hyundai,Hyundai i10,2010,Magna,0.515849765389414,Third Party insurance,Petrol,5,1197,2010,20.36,78.9,111,Others,Bangalore,8,2,27
